[I 2026-09-04 01:41:34,099] Trial 278 finished with values: [253512.5, 0.9809593694905441, -3.0153249899546304] and parameters: {'encoder_layers': 3, 'encoder_hidden': 32, 'latent_dim': 8, 'gp_num_inducing': 256, 'gp_kernel': 'Matern32', 'gp_periodic': False, 'gp_composition': 'additive', 'gp_mean': 'Constant', 'lr': 0.00016840094149922307, 'gp_lr': 0.0013280937386229983, 'var_weight': 34.701261870469516, 'cov_weight': 40.536142928426436, 'topo_weight': 4.629866469735148, 'ema_tau': 0.9939849744560338, 'aug_noise': 0.003053042833115383, 'aug_dropout': 0.08333322854493784}.
  Trial 279: JIT compilation took 0.0s
  Trial 279 | Epoch 000 | GP NLPD: 153465.35 | JEPA Loss:   0.61 | SR: 2.03
  Trial 279 | Epoch 010 | GP NLPD: 197469.43 | JEPA Loss:   0.67 | SR: 2.13
  Trial 279 | Epoch 020 | GP NLPD: 179587.78 | JEPA Loss:   0.69 | SR: 1.76
  Trial 279 | Epoch 030 | GP NLPD: 166305.88 | JEPA Loss:   0.69 | SR: 1.65
  Trial 279 | Epoch 040 | GP NLPD: 154089.26 | JEPA Loss:   0.67 | SR: 1.75
  Trial 279 | Epoch 050 | GP NLPD: 139715.27 | JEPA Loss:   0.64 | SR: 1.71
  Trial 279 | Epoch 060 | GP NLPD: 124351.75 | JEPA Loss:   0.78 | SR: 1.52
  Trial 279 | Epoch 070 | GP NLPD: 122890.47 | JEPA Loss:   0.80 | SR: 1.45
  Trial 279 | Epoch 080 | GP NLPD: 123281.39 | JEPA Loss:   0.85 | SR: 1.50
  Trial 279 | Epoch 090 | GP NLPD: 121706.91 | JEPA Loss:   0.80 | SR: 1.55
  Trial 279 | Epoch 100 | GP NLPD: 121646.70 | JEPA Loss:   0.80 | SR: 1.55
  Trial 279 | Epoch 110 | GP NLPD: 120049.90 | JEPA Loss:   0.76 | SR: 1.57
  Trial 279 | Epoch 120 | GP NLPD: 119655.62 | JEPA Loss:   0.77 | SR: 1.60
  Trial 279 | Epoch 130 | GP NLPD: 118579.41 | JEPA Loss:   0.79 | SR: 1.68
  Trial 279 | Epoch 140 | GP NLPD: 116785.30 | JEPA Loss:   0.74 | SR: 1.72
  Trial 279 | Epoch 150 | GP NLPD: 117473.31 | JEPA Loss:   0.74 | SR: 1.72
  Trial 279 | Epoch 160 | GP NLPD: 117539.24 | JEPA Loss:   0.75 | SR: 1.66
  Trial 279 | Epoch 170 | GP NLPD: 117288.36 | JEPA Loss:   0.72 | SR: 1.72
  Trial 279 | Epoch 180 | GP NLPD: 118351.34 | JEPA Loss:   0.70 | SR: 1.82
  Trial 279 | Epoch 190 | GP NLPD: 117321.32 | JEPA Loss:   0.70 | SR: 1.76
  Trial 279 | Epoch 200 | GP NLPD: 118093.78 | JEPA Loss:   0.70 | SR: 1.75
  Trial 279 | Epoch 210 | GP NLPD: 119382.04 | JEPA Loss:   0.67 | SR: 1.79
  Trial 279 | Epoch 220 | GP NLPD: 119409.28 | JEPA Loss:   0.66 | SR: 1.80
  Trial 279 | Epoch 230 | GP NLPD: 121062.38 | JEPA Loss:   0.70 | SR: 1.76
  Trial 279 | Epoch 240 | GP NLPD: 120253.43 | JEPA Loss:   0.67 | SR: 1.75
  Trial 279 | Epoch 250 | GP NLPD: 122383.09 | JEPA Loss:   0.65 | SR: 1.79
  Trial 279 | Epoch 260 | GP NLPD: 123041.23 | JEPA Loss:   0.65 | SR: 1.76
  Trial 279 | Epoch 270 | GP NLPD: 124562.15 | JEPA Loss:   0.64 | SR: 1.77
  Trial 279 | Epoch 280 | GP NLPD: 126199.24 | JEPA Loss:   0.64 | SR: 1.80
  Trial 279 | Epoch 290 | GP NLPD: 125840.78 | JEPA Loss:   0.64 | SR: 1.76
  Trial 279 | Epoch 299 | GP NLPD: 125962.76 | JEPA Loss:   0.65 | SR: 1.79
